timestamp,comune,provincia,temperatura
2026-08-06T12:01:25.634Z,Villabate,PA,33
2026-08-06T12:01:25.634Z,Villafrati,PA,29
2026-08-06T12:01:25.634Z,Scillato,PA,28.5
2026-08-06T12:01:25.634Z,Blufi,PA,34.1
2026-08-06T12:01:25.634Z,Alcara li Fusi,ME,23.4
2026-08-06T12:01:25.634Z,Alì,ME,31.7
2026-08-06T12:01:25.634Z,Alì Terme,ME,30.3
2026-08-06T12:01:25.634Z,Antillo,ME,32.8
2026-08-06T12:01:25.634Z,Barcellona Pozzo di Gotto,ME,33.9
2026-08-06T12:01:25.634Z,Basicò,ME,30.3
2026-08-06T12:01:25.634Z,Brolo,ME,28.4
2026-08-06T12:01:25.634Z,Capizzi,ME,24
2026-08-06T12:01:25.634Z,Capo d'Orlando,ME,30.4
2026-08-06T12:01:25.634Z,Capri Leone,ME,32.7
2026-08-06T12:01:25.634Z,Caronia,ME,30.9
2026-08-06T12:01:25.634Z,Casalvecchio Siculo,ME,32.8
2026-08-06T12:01:25.634Z,Castel di Lucio,ME,31.3
2026-08-06T12:01:25.634Z,Castell'Umberto,ME,26.8
2026-08-06T12:01:25.634Z,Castelmola,ME,26.7
2026-08-06T12:01:25.634Z,Castroreale,ME,34.7
2026-08-06T12:01:25.634Z,Cesarò,ME,32.2
2026-08-06T12:01:25.634Z,Condrò,ME,33
2026-08-06T12:01:25.634Z,Falcone,ME,32.8
2026-08-06T12:01:25.634Z,Ficarra,ME,26.3
2026-08-06T12:01:25.634Z,Fiumedinisi,ME,31.7
2026-08-06T12:01:25.634Z,Floresta,ME,21.3
2026-08-06T12:01:25.634Z,Fondachelli-Fantina,ME,29.9
2026-08-06T12:01:25.634Z,Forza d'Agrò,ME,32.5
2026-08-06T12:01:25.634Z,Francavilla di Sicilia,ME,32.2
2026-08-06T12:01:25.634Z,Frazzanò,ME,28.2
2026-08-06T12:01:25.634Z,Furci Siculo,ME,33.2
2026-08-06T12:01:25.634Z,Furnari,ME,32.8
2026-08-06T12:01:25.634Z,Gaggi,ME,32.4
2026-08-06T12:01:25.634Z,Galati Mamertino,ME,24.9
2026-08-06T12:01:25.634Z,Gallodoro,ME,32.1
2026-08-06T12:01:25.634Z,Giardini-Naxos,ME,27.3
2026-08-06T12:01:25.634Z,Gioiosa Marea,ME,29.4
2026-08-06T12:01:25.634Z,Graniti,ME,32.4
2026-08-06T12:01:25.634Z,Gualtieri Sicaminò,ME,33
2026-08-06T12:01:25.634Z,Itala,ME,33.9
2026-08-06T12:01:25.634Z,Leni,ME,30.8
2026-08-06T12:01:25.634Z,Letojanni,ME,35.6
2026-08-06T12:01:25.634Z,Librizzi,ME,31.7
2026-08-06T12:01:25.634Z,Limina,ME,32.8
2026-08-06T12:01:25.634Z,Lipari,ME,30.8
2026-08-06T12:01:25.634Z,Longi,ME,25.2
2026-08-06T12:01:25.634Z,Malfa,ME,30.8
2026-08-06T12:01:25.634Z,Malvagna,ME,36.6
2026-08-06T12:01:25.634Z,Mandanici,ME,33.2
2026-08-06T12:01:25.634Z,Mazzarrà Sant'Andrea,ME,32.8
2026-08-06T12:01:25.634Z,Merì,ME,31.4
2026-08-06T12:01:25.634Z,Messina,ME,34.8
2026-08-06T12:01:25.634Z,Milazzo,ME,31.4
2026-08-06T12:01:25.634Z,Militello Rosmarino,ME,25.5
2026-08-06T12:01:25.634Z,Mirto,ME,28.2
2026-08-06T12:01:25.634Z,Mistretta,ME,27.8
2026-08-06T12:01:25.634Z,Moio Alcantara,ME,36.6
2026-08-06T12:01:25.634Z,Monforte San Giorgio,ME,33.3
2026-08-06T12:01:25.634Z,Mongiuffi Melia,ME,32.1
2026-08-06T12:01:25.634Z,Montagnareale,ME,29.4
2026-08-06T12:01:25.634Z,Montalbano Elicona,ME,30.6
2026-08-06T12:01:25.634Z,Motta Camastra,ME,28.4
2026-08-06T12:01:25.634Z,Motta d'Affermo,ME,31.2
2026-08-06T12:01:25.634Z,Naso,ME,29.4
2026-08-06T12:01:25.634Z,Nizza di Sicilia,ME,31.7
2026-08-06T12:01:25.634Z,Novara di Sicilia,ME,29.5
2026-08-06T12:01:25.634Z,Oliveri,ME,31.4
2026-08-06T12:01:25.634Z,Pace del Mela,ME,31.4
2026-08-06T12:01:25.634Z,Pagliara,ME,33.2
2026-08-06T12:01:25.634Z,Patti,ME,32.4
2026-08-06T12:01:25.634Z,Pettineo,ME,31.6
2026-08-06T12:01:25.634Z,Piraino,ME,28.4
2026-08-06T12:01:25.634Z,Raccuja,ME,21.3
2026-08-06T12:01:25.634Z,Reitano,ME,31.7
2026-08-06T12:01:25.634Z,Roccafiorita,ME,32.1
2026-08-06T12:01:25.634Z,Roccalumera,ME,30.7
2026-08-06T12:01:25.634Z,Roccavaldina,ME,33.3
2026-08-06T12:01:25.634Z,Roccella Valdemone,ME,25.6
2026-08-06T12:01:25.634Z,Rodì Milici,ME,32.6
2026-08-06T12:01:25.634Z,Rometta,ME,25.3
2026-08-06T12:01:25.634Z,San Filippo del Mela,ME,31.4
2026-08-06T12:01:25.634Z,San Fratello,ME,25.6
2026-08-06T12:01:25.634Z,San Marco d'Alunzio,ME,25.4
2026-08-06T12:01:25.634Z,San Pier Niceto,ME,33.3
2026-08-06T12:01:25.634Z,San Piero Patti,ME,32.6
2026-08-06T12:01:25.634Z,San Salvatore di Fitalia,ME,26.8
2026-08-06T12:01:25.634Z,Santa Domenica Vittoria,ME,27.6
2026-08-06T12:01:25.634Z,Sant'Agata di Militello,ME,31.5
2026-08-06T12:01:25.634Z,Sant'Alessio Siculo,ME,32.5
2026-08-06T12:01:25.634Z,Santa Lucia del Mela,ME,28.3
2026-08-06T12:01:25.634Z,Santa Marina Salina,ME,30.8
2026-08-06T12:01:25.634Z,Sant'Angelo di Brolo,ME,29.1
2026-08-06T12:01:25.634Z,Santa Teresa di Riva,ME,33.8
2026-08-06T12:01:25.634Z,San Teodoro,ME,32.2
2026-08-06T12:01:25.634Z,Santo Stefano di Camastra,ME,32.7
2026-08-06T12:01:25.634Z,Saponara,ME,30
2026-08-06T12:01:25.634Z,Savoca,ME,33.8
2026-08-06T12:01:25.634Z,Scaletta Zanclea,ME,34.2
2026-08-06T12:01:25.634Z,Sinagra,ME,30.9
2026-08-06T12:01:25.634Z,Spadafora,ME,31.1
2026-08-06T12:01:25.634Z,Taormina,ME,26.7
2026-08-06T12:01:25.634Z,Torregrotta,ME,33.8
2026-08-06T12:01:25.634Z,Tortorici,ME,24.4
2026-08-06T12:01:25.634Z,Tripi,ME,30.3
2026-08-06T12:01:25.634Z,Tusa,ME,27.6
2026-08-06T12:01:25.634Z,Ucria,ME,21.3
2026-08-06T12:01:25.634Z,Valdina,ME,31.1
2026-08-06T12:01:25.634Z,Venetico,ME,31.1
2026-08-06T12:01:25.634Z,Villafranca Tirrena,ME,32.7
2026-08-06T12:01:25.634Z,Terme Vigliatore,ME,32.8
2026-08-06T12:01:25.634Z,Acquedolci,ME,31.5
2026-08-06T12:01:25.634Z,Torrenova,ME,32.7
2026-08-06T12:01:25.634Z,Agrigento,AG,31.3
2026-08-06T12:01:25.634Z,Alessandria della Rocca,AG,31.7
2026-08-06T12:01:25.634Z,Aragona,AG,31.1
2026-08-06T12:01:25.634Z,Bivona,AG,32.5
2026-08-06T12:01:25.634Z,Burgio,AG,35
2026-08-06T12:01:25.634Z,Calamonaci,AG,33.6
2026-08-06T12:01:25.634Z,Caltabellotta,AG,33.2
2026-08-06T12:01:25.634Z,Camastra,AG,29.2
2026-08-06T12:01:25.634Z,Cammarata,AG,33.9
2026-08-06T12:01:25.634Z,Campobello di Licata,AG,34.2
2026-08-06T12:01:25.634Z,Canicattì,AG,31.3
2026-08-06T12:01:25.634Z,Casteltermini,AG,35.3
2026-08-06T12:01:25.634Z,Castrofilippo,AG,32.1
2026-08-06T12:01:25.634Z,Cattolica Eraclea,AG,31.2
2026-08-06T12:01:25.634Z,Cianciana,AG,33.2
2026-08-06T12:01:25.634Z,Comitini,AG,31.1
2026-08-06T12:01:25.634Z,Favara,AG,31.3
2026-08-06T12:01:25.634Z,Grotte,AG,34.8
2026-08-06T12:01:25.634Z,Joppolo Giancaxio,AG,32
2026-08-06T12:01:25.634Z,Licata,AG,33.2
2026-08-06T12:01:25.634Z,Lucca Sicula,AG,33.6
2026-08-06T12:01:25.634Z,Menfi,AG,30.1
2026-08-06T12:01:25.634Z,Montallegro,AG,31.2
2026-08-06T12:01:25.634Z,Montevago,AG,34.2
2026-08-06T12:01:25.634Z,Naro,AG,29.2
2026-08-06T12:01:25.634Z,Palma di Montechiaro,AG,31.6
2026-08-06T12:01:25.634Z,Porto Empedocle,AG,30.8
2026-08-06T12:01:25.634Z,Racalmuto,AG,32.1
2026-08-06T12:01:25.634Z,Raffadali,AG,33.8
2026-08-06T12:01:25.634Z,Ravanusa,AG,34.2
