data,codice_istat,comune,provincia,colore,label,desc,pgrid
2026-07-14,082018,Campofiorito,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,317401
2026-07-14,082019,Camporeale,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",312836
2026-07-14,082020,Capaci,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",303729
2026-07-14,082021,Carini,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305028
2026-07-14,082022,Castelbuono,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",311584
2026-07-14,082023,Casteldaccia,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",307650
2026-07-14,082024,Castellana Sicula,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,316789
2026-07-14,082025,Castronovo di Sicilia,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,320022
2026-07-14,082026,Cefalà Diana,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312203
2026-07-14,082027,Cefalù,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",308325
2026-07-14,082028,Cerda,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",312872
2026-07-14,082029,Chiusa Sclafani,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",320006
2026-07-14,082030,Ciminna,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312859
2026-07-14,082031,Cinisi,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304373
