data,comune,provincia,rischio
2026-07-14,Malfa,ME,Alto
2026-07-14,Malvagna,ME,Moderato
2026-07-14,Mandanici,ME,Moderato
2026-07-14,Mazzarrà Sant'Andrea,ME,Alto
2026-07-14,Merì,ME,Alto
2026-07-14,Messina,ME,Alto
2026-07-14,Milazzo,ME,Alto
2026-07-14,Militello Rosmarino,ME,Moderato
2026-07-14,Mirto,ME,Alto
2026-07-14,Mistretta,ME,Moderato
2026-07-14,Moio Alcantara,ME,Moderato
2026-07-14,Monforte San Giorgio,ME,Alto
2026-07-14,Mongiuffi Melia,ME,Alto
2026-07-14,Montagnareale,ME,Alto
2026-07-14,Montalbano Elicona,ME,Moderato
2026-07-14,Motta Camastra,ME,Alto
2026-07-14,Motta d'Affermo,ME,Alto
2026-07-14,Naso,ME,Alto
2026-07-14,Nizza di Sicilia,ME,Alto
2026-07-14,Novara di Sicilia,ME,Moderato
2026-07-14,Oliveri,ME,Alto
2026-07-14,Pace del Mela,ME,Alto
2026-07-14,Pagliara,ME,Alto
2026-07-14,Patti,ME,Alto
2026-07-14,Pettineo,ME,Moderato
2026-07-14,Piraino,ME,Alto
2026-07-14,Raccuja,ME,Moderato
2026-07-14,Reitano,ME,Moderato
2026-07-14,Roccafiorita,ME,Moderato
2026-07-14,Roccalumera,ME,Alto
2026-07-14,Roccavaldina,ME,Alto
2026-07-14,Roccella Valdemone,ME,Moderato
2026-07-14,Rodì Milici,ME,Moderato
2026-07-14,Rometta,ME,Alto
2026-07-14,San Filippo del Mela,ME,Alto
2026-07-14,San Fratello,ME,Moderato
2026-07-14,San Marco d'Alunzio,ME,Moderato
2026-07-14,San Pier Niceto,ME,Alto
2026-07-14,San Piero Patti,ME,Moderato
2026-07-14,San Salvatore di Fitalia,ME,Moderato
2026-07-14,Santa Domenica Vittoria,ME,Moderato
2026-07-14,Sant'Agata di Militello,ME,Alto
2026-07-14,Sant'Alessio Siculo,ME,Alto
2026-07-14,Santa Lucia del Mela,ME,Moderato
2026-07-14,Santa Marina Salina,ME,Alto
2026-07-14,Sant'Angelo di Brolo,ME,Moderato
2026-07-14,Santa Teresa di Riva,ME,Alto
2026-07-14,San Teodoro,ME,Moderato
2026-07-14,Santo Stefano di Camastra,ME,Alto
2026-07-14,Saponara,ME,Alto
2026-07-14,Savoca,ME,Alto
2026-07-14,Scaletta Zanclea,ME,Alto
2026-07-14,Sinagra,ME,Moderato
2026-07-14,Spadafora,ME,Alto
2026-07-14,Taormina,ME,Alto
2026-07-14,Torregrotta,ME,Alto
2026-07-14,Tortorici,ME,Moderato
2026-07-14,Tripi,ME,Moderato
2026-07-14,Tusa,ME,Moderato
2026-07-14,Ucria,ME,Moderato
2026-07-14,Valdina,ME,Alto
2026-07-14,Venetico,ME,Alto
2026-07-14,Villafranca Tirrena,ME,Alto
2026-07-14,Terme Vigliatore,ME,Alto
2026-07-14,Acquedolci,ME,Alto
2026-07-14,Torrenova,ME,Alto
2026-07-14,Agrigento,AG,Alto
2026-07-14,Alessandria della Rocca,AG,Moderato
2026-07-14,Aragona,AG,Alto
2026-07-14,Bivona,AG,Moderato
2026-07-14,Burgio,AG,Moderato
2026-07-14,Calamonaci,AG,Moderato
2026-07-14,Caltabellotta,AG,Moderato
2026-07-14,Camastra,AG,Moderato
2026-07-14,Cammarata,AG,Alto
2026-07-14,Campobello di Licata,AG,Alto
2026-07-14,Canicattì,AG,Alto
2026-07-14,Casteltermini,AG,Moderato
2026-07-14,Castrofilippo,AG,Moderato
2026-07-14,Cattolica Eraclea,AG,Moderato
2026-07-14,Cianciana,AG,Moderato
2026-07-14,Comitini,AG,Alto
2026-07-14,Favara,AG,Moderato
2026-07-14,Grotte,AG,Alto
2026-07-14,Joppolo Giancaxio,AG,Alto
2026-07-14,Licata,AG,Alto
2026-07-14,Lucca Sicula,AG,Moderato
2026-07-14,Menfi,AG,Alto
2026-07-14,Montallegro,AG,Alto
2026-07-14,Montevago,AG,Moderato
2026-07-14,Naro,AG,Moderato
2026-07-14,Palma di Montechiaro,AG,Moderato
2026-07-14,Porto Empedocle,AG,Alto
2026-07-14,Racalmuto,AG,Alto
2026-07-14,Raffadali,AG,Alto
2026-07-14,Ravanusa,AG,Alto
2026-07-14,Realmonte,AG,Moderato
2026-07-14,Ribera,AG,Alto
2026-07-14,Sambuca di Sicilia,AG,Moderato
2026-07-14,San Biagio Platani,AG,Moderato
2026-07-14,San Giovanni Gemini,AG,Alto
2026-07-14,Santa Elisabetta,AG,Alto
2026-07-14,Santa Margherita di Belice,AG,Moderato
2026-07-14,Sant'Angelo Muxaro,AG,Alto
2026-07-14,Santo Stefano Quisquina,AG,Moderato
2026-07-14,Sciacca,AG,Alto
2026-07-14,Siculiana,AG,Alto
2026-07-14,Villafranca Sicula,AG,Moderato
2026-07-14,Acquaviva Platani,CL,Moderato
2026-07-14,Bompensiere,CL,Alto
2026-07-14,Butera,CL,Alto
2026-07-14,Caltanissetta,CL,Alto
2026-07-14,Campofranco,CL,Alto
2026-07-14,Delia,CL,Alto
2026-07-14,Gela,CL,Moderato
2026-07-14,Marianopoli,CL,Moderato
2026-07-14,Mazzarino,CL,Moderato
2026-07-14,Milena,CL,Alto
2026-07-14,Montedoro,CL,Alto
2026-07-14,Mussomeli,CL,Alto
2026-07-14,Niscemi,CL,Moderato
2026-07-14,Resuttano,CL,Alto
2026-07-14,Riesi,CL,Alto
2026-07-14,San Cataldo,CL,Alto
2026-07-14,Santa Caterina Villarmosa,CL,Alto
2026-07-14,Serradifalco,CL,Alto
2026-07-14,Sommatino,CL,Alto
2026-07-14,Sutera,CL,Alto
2026-07-14,Vallelunga Pratameno,CL,Alto
2026-07-14,Villalba,CL,Alto
2026-07-14,Agira,EN,Alto
2026-07-14,Aidone,EN,Alto
2026-07-14,Assoro,EN,Alto
2026-07-14,Barrafranca,EN,Alto
2026-07-14,Calascibetta,EN,Alto
2026-07-14,Catenanuova,EN,Alto
2026-07-14,Centuripe,EN,Alto
2026-07-14,Cerami,EN,Alto
2026-07-14,Enna,EN,Alto
2026-07-14,Gagliano Castelferrato,EN,Moderato
2026-07-14,Leonforte,EN,Alto
2026-07-14,Nicosia,EN,Alto
2026-07-14,Nissoria,EN,Alto
2026-07-14,Piazza Armerina,EN,Moderato
2026-07-14,Pietraperzia,EN,Alto
2026-07-14,Regalbuto,EN,Alto
2026-07-14,Sperlinga,EN,Moderato
2026-07-14,Troina,EN,Moderato
